id,year,month,category,type,amount
400,2024,12,清點差額,income,5.0
401,2024,12,存款利息,income,268.0
402,2024,12,現金回饋,income,203.0
403,2024,12,網路雲端服務,expense,90.0
404,2025,1,代付,expense,737.0
405,2025,1,清點差額,expense,17.0
406,2025,1,洗滌,expense,120.0
407,2025,1,飲食,expense,1140.0
408,2025,1,他人還款,income,85.0
409,2025,1,服飾配件,expense,600.0
410,2025,1,圖書/考試,expense,1500.0
411,2025,1,加油,expense,100.0
412,2025,1,影印,expense,2.0
413,2025,1,卡片儲值,expense,122.0
414,2025,1,存款利息,income,270.0
415,2025,1,網路雲端服務,expense,90.0
416,2025,1,約會/請客,expense,20.0
417,2025,2,飲食,expense,4010.0
418,2025,2,代付,expense,600.0
419,2025,2,他人還款,income,750.0
420,2025,2,日用品,expense,60.0
421,2025,2,洗滌,expense,120.0
422,2025,2,美容美髮,expense,250.0
423,2025,2,清點差額,expense,35.0
424,2025,2,服飾配件,expense,1567.0
425,2025,2,加油,expense,229.0
426,2025,2,清點差額,income,7.0
427,2025,2,約會/請客,expense,516.0
428,2025,2,存款利息,income,315.0
429,2025,2,網路雲端服務,expense,90.0
430,2025,3,代付,expense,755.0
431,2025,3,零用錢,income,2100.0
432,2025,3,日用品,expense,198.0
433,2025,3,飲食,expense,5386.0
434,2025,3,他人還款,income,624.0
435,2025,3,現金回饋,income,5.0
436,2025,3,洗滌,expense,220.0
437,2025,3,影印,expense,30.0
438,2025,3,清點差額,income,40.0
439,2025,3,服飾配件,expense,1899.0
440,2025,3,醫療,expense,3058.0
441,2025,3,美容美髮,expense,150.0
442,2025,3,存款利息,income,335.0
443,2025,3,網路雲端服務,expense,90.0
444,2025,4,飲食,expense,6493.0
445,2025,4,抖內,income,500.0
446,2025,4,醫療,expense,570.0
447,2025,4,清點差額,expense,339.0
448,2025,4,代付,expense,2508.0
449,2025,4,他人還款,income,463.0
450,2025,4,日用品,expense,299.0
451,2025,4,約會/請客,expense,157.0
452,2025,4,服飾配件,expense,938.0
453,2025,4,洗滌,expense,80.0
454,2025,4,代理保管,income,10820.0
455,2025,4,加油,expense,232.0
456,2025,4,存款利息,income,391.0
457,2025,4,網路雲端服務,expense,90.0
458,2025,4,美容美髮,expense,150.0
459,2025,5,清點差額,expense,85.0
460,2025,5,飲食,expense,5653.0
461,2025,5,洗滌,expense,160.0
462,2025,5,他人還款,income,2437.0
463,2025,5,代付,expense,590.0
464,2025,5,日用品,expense,89.0
465,2025,5,醫療,expense,915.0
466,2025,5,網路購物,expense,90.0
467,2025,5,服飾配件,expense,2016.0
468,2025,5,要還錢/找零,expense,6000.0
469,2025,5,卡片儲值,expense,100.0
470,2025,5,美容美髮,expense,150.0
471,2025,5,通勤交通,expense,60.0
472,2025,5,清點差額,income,36.0
473,2025,5,存款利息,income,387.0
474,2025,5,約會/請客,expense,144.0
475,2025,5,現金回饋,income,136.0
476,2025,5,加油,expense,96.0
477,2025,5,網路雲端服務,expense,90.0
478,2025,6,零用錢,income,1000.0
479,2025,6,飲食,expense,5002.0
480,2025,6,服飾配件,expense,2551.0
481,2025,6,其他,expense,325.0
482,2025,6,影印,expense,224.0
483,2025,6,洗滌,expense,160.0
484,2025,6,加油,expense,110.0
485,2025,6,美容美髮,expense,150.0
486,2025,6,清點差額,expense,140.0
487,2025,6,郵資/行政手續費,expense,1256.0
488,2025,6,租金,expense,35183.0
489,2025,6,存款利息,income,409.0
490,2025,6,現金回饋,income,102.0
491,2025,6,網路雲端服務,expense,90.0
492,2025,6,日用品,expense,139.0
493,2025,6,通勤交通,expense,360.0
494,2025,7,美容美髮,expense,150.0
495,2025,7,飲食,expense,3518.0
496,2025,7,服飾配件,expense,2626.0
497,2025,7,洗滌,expense,40.0
498,2025,7,日用品,expense,1422.0
499,2025,7,影印,expense,4.0
500,2025,7,郵資/行政手續費,expense,497.0
501,2025,7,通勤交通,expense,280.0
502,2025,7,取消交易,income,340.0
503,2025,7,卡片儲值,expense,245.0
504,2025,7,加油,expense,223.0
505,2025,7,代付,expense,210.0
506,2025,7,3C,expense,1099.0
507,2025,7,量販雜貨,expense,689.0
508,2025,7,清點差額,expense,20.0
509,2025,7,清點差額,income,79.0
510,2025,7,存款利息,income,376.0
511,2025,7,現金回饋,income,170.0
512,2025,7,網路雲端服務,expense,90.0
513,2025,7,遊戲,expense,30.0
514,2025,7,工資,income,24420.0
515,2025,8,飲食,expense,4112.0
516,2025,8,加油,expense,350.0
517,2025,8,服飾配件,expense,1529.0
518,2025,8,約會/請客,expense,85.0
519,2025,8,電影,expense,515.0
520,2025,8,獎金,income,500.0
521,2025,8,抖內,income,6000.0
522,2025,8,通勤交通,expense,200.0
523,2025,8,郵資/行政手續費,expense,20.0
524,2025,8,代付,expense,185.0
525,2025,8,他人還款,income,75.0
526,2025,8,日用品,expense,538.0
527,2025,8,洗滌,expense,40.0
528,2025,8,理賠/補助,income,100.0
529,2025,8,存款利息,income,401.0
530,2025,8,現金回饋,income,153.0
531,2025,8,遊戲,expense,190.0
532,2025,8,保養維修,expense,1650.0
533,2025,8,清點差額,expense,566.0
534,2025,8,網路雲端服務,expense,90.0
535,2025,8,工資,income,28848.0
536,2025,9,醫療,expense,750.0
537,2025,9,飲食,expense,4983.0
538,2025,9,加油,expense,213.0
539,2025,9,通勤交通,expense,530.0
540,2025,9,遊戲,expense,330.0
541,2025,9,清點差額,expense,712.0
542,2025,9,服飾配件,expense,390.0
543,2025,9,他人還款,income,1410.0
544,2025,9,代付,expense,2452.0
545,2025,9,洗滌,expense,90.0
546,2025,9,禮品,expense,620.0
547,2025,9,美容美髮,expense,150.0
548,2025,9,停車費,expense,350.0
549,2025,9,電影,expense,170.0
550,2025,9,存款利息,income,475.0
551,2025,9,現金回饋,income,180.0
552,2025,9,卡片儲值,expense,100.0
553,2025,9,網路雲端服務,expense,90.0
554,2025,9,日用品,expense,12.0
555,2025,9,工資,income,23073.0
556,2025,10,飲食,expense,1999.0
557,2025,10,清點差額,expense,319.0
558,2025,10,稅金/費用,expense,717.0
559,2025,10,KTV,expense,60.0
560,2025,10,清點差額,income,10.0
561,2025,10,加油,expense,208.0
562,2025,10,零用錢,income,100.0
563,2025,10,約會/請客,expense,58.0
564,2025,10,圖書/考試,expense,3000.0
565,2025,10,美容美髮,expense,150.0
566,2025,10,利息/罰金,expense,614.0
567,2025,10,服飾配件,expense,499.0
568,2025,10,代付,expense,907.0
569,2025,10,影印,expense,55.0
570,2025,10,存款利息,income,517.0
571,2025,10,現金回饋,income,104.0
572,2025,10,他人還款,income,265.0
573,2025,10,網路雲端服務,expense,90.0
574,2025,10,聚會,expense,100.0
575,2025,10,通勤交通,expense,395.0
576,2025,10,學習,expense,2839.0
577,2025,10,工資,income,22144.0
578,2025,11,飲食,expense,2248.0
579,2025,11,其他,income,344.0
580,2025,11,通勤交通,expense,700.0
581,2025,11,網路購物,expense,377.0
582,2025,11,清點差額,expense,190.0
583,2025,11,郵資/行政手續費,expense,150.0
584,2025,11,代付,expense,660.0
585,2025,11,美容美髮,expense,150.0
586,2025,11,代理保管,income,11550.0
587,2025,11,他人還款,income,495.0
588,2025,11,旅行,expense,491.0
589,2025,11,服飾配件,expense,113.0
590,2025,11,卡片儲值,expense,45.0
591,2025,11,加油,expense,117.0
592,2025,11,存款利息,income,516.0
593,2025,11,現金回饋,income,195.0
594,2025,11,網路雲端服務,expense,90.0
595,2025,11,工資,income,22104.0
596,2025,12,稅金/費用,expense,130.0
597,2025,12,飲食,expense,1474.0
598,2025,12,卡片儲值,expense,206.0
599,2025,12,租金,expense,32917.0
600,2025,12,圖書/考試,expense,2800.0
601,2025,12,保養維修,expense,350.0
602,2025,12,日用品,expense,62.0
603,2025,12,通勤交通,expense,3415.0
604,2025,12,加油,expense,203.0
605,2025,12,美容美髮,expense,150.0
606,2025,12,清點差額,expense,125.0
607,2025,12,零用錢,income,2300.0
608,2025,12,存款利息,income,493.0
609,2025,12,服飾配件,expense,390.0
610,2025,12,現金回饋,income,56.0
611,2025,12,網路雲端服務,expense,90.0
612,2025,12,清點差額,income,634.0
613,2025,12,約會/請客,expense,209.0
614,2025,12,禮品,expense,109.0
615,2025,12,工資,income,23287.0
616,2026,1,飲食,expense,3142.0
617,2026,1,通勤交通,expense,1755.0
618,2026,1,其他,expense,40.0
619,2026,1,服飾配件,expense,1539.0
620,2026,1,加油,expense,201.0
621,2026,1,約會/請客,expense,630.0
622,2026,1,停車費,expense,30.0
623,2026,1,影印,expense,86.0
624,2026,1,醫療,expense,250.0
625,2026,1,日用品,expense,485.0
626,2026,1,代付,expense,460.0
627,2026,1,取消交易,income,229.0
628,2026,1,存款利息,income,509.0
629,2026,1,現金回饋,income,141.0
630,2026,1,網路雲端服務,expense,90.0
631,2026,1,清點差額,income,18.0
632,2026,1,工資,income,27663.0
633,2026,1,零用錢,income,200.0
634,2026,2,零用錢,income,10500.0
635,2026,2,通勤交通,expense,3925.0
636,2026,2,加油,expense,310.0
637,2026,2,日用品,expense,314.0
638,2026,2,飲食,expense,1900.0
639,2026,2,獎金,income,500.0
640,2026,2,美容美髮,expense,150.0
641,2026,2,他人還款,income,2370.0
642,2026,2,醫療,expense,200.0
643,2026,2,卡片儲值,expense,200.0
644,2026,2,網路雲端服務,expense,123.0
645,2026,2,清點差額,expense,445.0
646,2026,2,約會/請客,expense,143.0
647,2026,2,影印,expense,180.0
648,2026,2,停車費,expense,740.0
649,2026,2,存款利息,income,527.0
650,2026,2,圖書/考試,expense,1300.0
651,2026,2,現金回饋,income,215.0
652,2026,2,工資,income,28747.0
653,2026,3,飲食,expense,2939.0
654,2026,3,服飾配件,expense,1119.0
655,2026,3,加油,expense,312.0
656,2026,3,日用品,expense,125.0
657,2026,3,美容美髮,expense,150.0
658,2026,3,清點差額,expense,733.0
659,2026,3,約會/請客,expense,1099.0
660,2026,3,醫療,expense,456.0
661,2026,3,通勤交通,expense,1565.0
662,2026,3,網路雲端服務,expense,90.0
663,2026,3,他人還款,income,26.0
664,2026,3,卡片儲值,expense,100.0
665,2026,3,零用錢,income,507.0
666,2026,3,保養維修,expense,1750.0
667,2026,3,學習,expense,2839.0
668,2026,3,郵資/行政手續費,expense,43.0
669,2026,3,工資,income,28572.0
670,2026,4,飲食,expense,2264.0
671,2026,4,日用品,expense,199.0
672,2026,4,代付,expense,747.0
673,2026,4,零用錢,income,3000.0
674,2026,4,卡片儲值,expense,500.0
675,2026,4,約會/請客,expense,1355.0
676,2026,4,加油,expense,220.0
677,2026,4,服飾配件,expense,205.0
678,2026,4,清點差額,income,60.0
679,2026,4,美容美髮,expense,150.0
680,2026,4,通勤交通,expense,215.0
681,2026,4,網路雲端服務,expense,90.0
682,2026,4,存款利息,income,513.0
683,2026,4,現金回饋,income,116.0
684,2026,4,要還錢/找零,expense,22350.0
685,2026,4,工資,income,28389.0
686,2026,5,飲食,expense,3898.0
687,2026,5,他人還款,income,162.0
688,2026,5,聚會,expense,10.0
689,2026,5,通勤交通,expense,907.0
690,2026,5,卡片儲值,expense,400.0
691,2026,5,加油,expense,227.0
692,2026,5,約會/請客,expense,2156.0
