日期,從帳戶,轉出金額,幣別,到帳戶,轉入金額,幣別,標籤,備註,上次更新,UUID
20260422,國泰子帳戶,595,TWD,元大台50,595,TWD,,買入(0050.TW:元大台灣50),2026-04-21 00:33:15,S_405D7793-02F8-4D93-B975-FFC1BF87CFD0
20260422,Bankee,3543,TWD,BT21,3543,TWD,,自動繳款[3月07日〜4月06日],2026-04-22 21:11:11,A77EEF83-FD2F-44C2-B4ED-D64F7596F633
20260421,國泰子帳戶,590,TWD,元大台50,590,TWD,,買入(0050.TW:元大台灣50),2026-04-21 00:32:22,S_6C9ADE41-8127-4ED3-B19F-517DE2B0D6B4
20260421,國泰子帳戶,2051,TWD,台積電,2051,TWD,,買入(2330.TW:台積電),2026-04-20 13:48:21,S_54E790D8-F037-4903-9683-C28C14F3A71A
20260414,國泰子帳戶,37240.987,TWD,群益低碳50,37240.987,TWD,,買入(00923.TW:群益台ESG低碳50),2026-04-12 18:46:59,S_B86E8A03-D69C-4D7E-A72C-5CD4ED248A12
20260414,國泰子帳戶,76328.18,TWD,台積電,76328.18,TWD,,買入(2330.TW:台積電),2026-04-12 18:44:16,S_43E97829-BB4A-48EE-BAB0-52BD85970380
20260414,國泰子帳戶,44551.99934,TWD,元大台50,44551.99934,TWD,,買入(0050.TW:元大台灣50),2026-04-12 18:41:25,S_3256792C-8476-49E9-96EC-7E3B369AB370
20260409,郵局,7000,TWD,國泰子帳戶,7000,TWD,,,2026-04-09 20:23:02,24553353-CF6B-4D28-99A2-0E630198B9B2
20260409,國泰子帳戶,554,TWD,元大50,554,TWD,,,2026-04-09 20:16:39,C635DDFC-5E7D-4A2B-9BFF-800C3EFA167A
20260406,Bankee,200,TWD,悠遊付錢包,200,TWD,,,2026-04-12 18:57:52,AF60F933-AC84-4122-B043-3C1A247A32D6
20260403,Bankee,200,TWD,悠遊付錢包,200,TWD,,,2026-04-12 18:59:29,5CC24FF4-3FF3-4BD6-AC94-88051606DEB3
20260403,Bankee,200,TWD,悠遊付錢包,200,TWD,,,2026-04-12 18:58:58,7BC0A493-C639-426B-99FF-F50A245847C0
20260402,國泰子帳戶,967,TWD,元大50,967,TWD,,,2026-04-09 20:20:19,7B5507EF-96A6-45EE-BD9E-A64F97EED184
20260402,郵局,3000,TWD,中信,3000,TWD,,寶寶的電話費已還,2026-05-25 17:04:56,F78D6AE0-44F4-45D6-A106-EFB0FDE3F60E
20260331,中信,22000,TWD,Bankee,22000,TWD,,,2026-03-31 10:23:03,B9557EEF-CC07-453D-9010-CE6DD1159CBB
20260331,中信,5812,TWD,國泰子帳戶,5812,TWD,,,2026-03-31 10:22:00,DD62496F-D594-4BB9-8D7B-8EA35DDC7483
20260330,國泰子帳戶,52,TWD,兆豐藍籌,52,TWD,,,2026-03-30 20:07:10,07341A5A-5BD1-4B4E-ACBA-97E97827C622
20260330,國泰子帳戶,958,TWD,元大50,958,TWD,,,2026-03-30 20:06:55,18CEA837-E8C8-4FF4-B8D8-E341C5C02533
20260329,CUBE COMBO,500,TWD,點點卡,500,TWD,,,2026-04-01 00:19:55,C2D5F5C6-CD9D-422D-B820-C9444B1AFD08
20260327,國泰子帳戶,53,TWD,兆豐藍籌,53,TWD,,,2026-03-27 20:29:45,02FDC5DB-B8F9-41FF-B6D0-6DB2088926E3
